Que signifie la racine allo- dans allophone?,autre
"Quel nom donna-t-on à la commission d’enquête sur l’enseignement, laquelle mena notamment à la création du Ministère de l’Éducation du Québec et à la création des cégeps?",la commission Parent ou le rapport Parent
"À quel peintre natif des Provinces-Unies doit-on Vue de Delft, La Laitière et La Jeune fille à la perle?",Johannes VERMEER
"À quel type de représentation associez-vous les œuvres de William Hogarth, d’Honoré Daumier et de Serge Chapleau?",la caricature
"Quel peintre italien se fit spécialiste des thèmes de festins bibliques avec, entre autres, Le Repas chez Lévi et Les Noces de Cana?",Paul VÉRONÈSE ou Paolo CALIARI
Dans quelle ville d'Italie se sont déroulés les Jeux olympiques d'hiver de 1956?,à Cortina d'Ampezzo
"Dans les ligues majeures de base-ball, quelle équipe évolue au PETCO Park, à San Diego?",les Padres de San Diego
De quelle plante était composée la couronne triomphale que l’on décernait traditionnellement aux vainqueurs olympiques en Grèce antique?,de laurier
À quel couturier français doit-on notamment le smoking pour femmes?,Yves Saint Laurent ou YSL
À quel dramaturge québécois doit-on Zone et Un simple soldat?,Marcel DUBÉ
Quel nom porte le héros donnant son nom au premier tome de la série Inheritance écrite par Christopher Paolini?,Eragon
"Quel héros de la littérature a voyagé au pays des Houyhnhnms, à Brobdingnag et à Lilliput dans un roman de Jonathan Swift?",Lemuel GULLIVER
Lors d’un festival de films ayant lieu dans quelle ville européenne le Lion d’or est-il décerné?,à Venise
"À quelle compagnie du monde du divertissement peut-on associer O, Kà, KURIOS – Le cabinet des curiosités et TUROK – Le premier envol?",le Cirque du Soleil
Quel groupe d'autochtones forme encore aujourd’hui près de 40% de la population du Guatémala?,les Mayas
Quel chanteur britannique est l'interprète original de la chanson Space Oddity ?,David Bowie
Quel est le seul conifère québécois à perdre ses aiguilles en hiver?,le mélèze
Quel nom portait la mission spatiale ayant permis aux Américains d’envoyer le premier homme sur la Lune?,Apollo 11
Quelle expression contenant le mot main signifie contraindre quelqu’un à faire quelque chose?,forcer la main
Que signifie la locution latine suivante : De gustibus et coloribus non disputandum?,"Des goûts et des couleurs, il ne faut pas discuter (être indulgent et accepter des réponses semblables comme on ne discute pas des goûts et des couleurs)"
"En mode, quel est le sens du sigle BCBG?","bon chic, bon genre"
Quel pays lusophone occupe le 5e rang mondial quant à sa population?,le Brésil
Quel physicien italien a conçu la première pile atomique?,Enrico FERMI
"Que signifie le sigle CFC, désignant les gaz responsables de l'amincissement de la couche d'ozone stratosphérique?",chlorofluorocarbones
Sur quelle planète peut-on apercevoir un anticyclone aux dimensions supérieures à celles de la Terre nommée Grande tache rouge?,sur Jupiter
"Aussi appelée quarte augmentée, quel intervalle mélodique de trois tons désigne aussi un amphibien urodèle à queue aplatie?",le triton
Quel est ange est considéré comme étant le messager de Dieu à la fois dans la Bible et le Coran?, R. : l’archange GABRIEL
"Avec plus de 200 000 000 individus, quel est le pays à compter le plus grand nombre de musulmans au sein de sa population?", R. : l’Indonésie
De qui l'impératrice Eugénie était-elle l'épouse lorsqu'elle inaugura le Canal de Suez au nom des Français en 1869?",Napoléon III ou Louis-Napoléon Bonaparte
Sous quel autre nom appelle-t-on en français la révolution bolchévique des 7 et 8 novembre 1917?,la Révolution d’Octobre (elle tire son nom du calendrier julien)
À quel peintre suprématiste doit-on Carré noir sur fond blanc ainsi que Carré blanc sur fond blanc?,Kasimir MALEVITCH
"De quel pays le sculpteur de La colonne sans fin, Constantin Brâncuși, est-il natif?",la Roumanie
À quel peintre phare de l’expressionnisme abstrait doit-on ia toile Autumn Rythm (Number 30) créée à l’aide de la technique du dripping?,Jackson Pollock
"À quel peintre rattachez-vous la toile Vieux guitariste aveugle qui a été créée en 1903, à la fin de la période ''bleue'' de l'artiste?",Pablo Picasso
Quels étaient les trois ordres architecturaux de la Grèce antique?,"dorique, ionique et corinthien"
"Officiellement, combien de Tours de France le cycliste Lance Armstrong a-t-il remporté?",0
Quel trophée est remis annuellement au meilleur pointeur de la saison régulière de la LNH ?,le trophée Art Ross
Quelle Allemande a remporté le tournoi de tennis de Wimbledon à 7 reprises entre 1988 et 1996?,Steffi Graf
Quel est le nom du premier tome des Chroniques du Plateau Mont-Royal de Michel Tremblay?,La Grosse femme d’à côté est enceinte
"Sous quel nom connait-on mieux Sophie Rostopchine, l’auteure des Malheurs de Sophie?",la Comtesse de Ségur
Dans quelle émission américaine retrouve-t-on les personnages des frères Salvatore ainsi que d’Elena Gilbert?,The Vampire Diaries
Quel mangaka et animateur créa en 1952 le personnage d’Astro Boy?,Osamu TEZUKA
Quel objet Hercule enleva-t-il du Jardin des Hespérides?,les pommes d'or
Quelle espèce de singe se reconnait à ses joues bleues et à son long nez plat et rouge?,le mandrill
"Dans quel pays actuel la ville de Waterloo, siège d’une défaite de Napoléon, se trouve-t-elle?",en Belgique
Quel mot désigne à la fois un orphelin mineur sous l'autorité d'un tuteur ainsi que le trou au milieu de l'iris ?,pupille
Comment qualifie-t-on un médicament qui provoque une perte de la sensibilité à la douleur?,un analgésique
Quel gentilé désigne les habitants de l’île de Chypre?,les Chypriotes
Complétez le proverbe suivant : Mauvaise herbe...,... croît toujours.
Quelle expression contenant le mot poudre signifie une attitude flatteuse utilisée pour tromper ou encore un mensonge?,de la poudre aux yeux
"Quel château de Bavière, le plus visité d’Allemagne en vertu du million de touriste qu’il reçoit à chaque année, a inspiré le château de la Belle au bois dormant utilisé dans le générique de tous les films de Disney?",le château de Neuschwanstein
"Quel élément tire son symbole des mots grecs hydrargyrum, signifiant argent liquide?",le Mercure
Comment appelle-t-on un atome ou une molécule qui a acquis une charge électrique en gagnant ou en perdant des électrons?,un ion
"Qui devint, en 1992, la première femme canadienne à effectuer un voyage dans l’espace?",Roberta BONDAR
"Possédant une atmosphère pouvant atteindre jusqu’à 480 degrés Celsius, quelle est la planète du système solaire à la température moyenne de surface la plus élevée?",Vénus
À quel compositeur français doit-on la Danse macabre et le Carnaval des animaux?,Camille Saint-Saëns
Quelle chanson de Claude François fut transposée à l’anglais et reprise par Paul Anka et Frank Sinatra?,Comme d’habitude
Quel chansonnier français ayant adapté plusieurs poèmes de Louis Aragon en musique a notamment chanté Potemkine et C’est beau la vie?,Jean FERRAT
Quel dieu à l’apparence d’un serpent à plume était la divinité principale du culte aztèque?, R. : Quetzalcóatl
"Au centre de quel lac, aujourd’hui asséché, la capitale aztèque de Tenochtitlan était-elle sise?", R. : le lac Texcoco
Quel papillon reconnaissable à sa couleur orange est surtout connu pour sa migration annuelle lors de laquelle il traverse parfois plus de 4 000 kilomètres pour se rendre jusqu’au Mexique?, R. : le monarque
"Par quel traité l'Angleterre reçoit-elle l'Acadie, Terre-Neuve et la Baie d'Hudson en 1713?",le traité d'Utrecht
Quel peuple donna son nom à la Gaule romaine après l'avoir conquise aux Ve et VIe siècles ?,les Francs
"Dans quel pays actuel les Tokugawa, une dynastie de shôguns, régna-t-elle de 1603 à 1867?",le Japon
"En 1970, vers quel pays les ravisseurs de James Richards Cross ont-ils obtenu le droit de s’exiler?",Cuba
Quel mouvement artistique né en réaction contre les excès du style rococo a pour représentants les peintres Jean-Auguste-Dominique Ingres et Jacques-Louis David ?,le néoclassicisme
Quel nom porte l’équipe de la LHJMQ représentant la ville de Drummondville?,les Voltigeurs
"Dans quel pays se trouve le circuit de course de Zolder, où s'est tué Gilles Villeneuve en mai 1982?",en Belgique
"Comment appelle-t-on, au curling, la dernière pierre d'une manche?",le marteau
Quel informaticien fonda en 1984 la compagnie Dell?,Michael Dell
Quelle série de jeux vidéo lancée pour Super Nintendo dans les années 1990 a connu deux suites sur Wii et Wii-U dans les années 2010 nommées Returns et Tropical Freeze?,Donkey Kong Country
Quel nom porte la table religieuse sur laquelle les sacrifices sont effectués ou les offrandes déposées?,l’autel
"À quel auteur de contes pour enfants doit-on Les habits neufs de l’empereur, La princesse au petit pois et La petite fille aux allumettes?",Hans Christian ANDERSEN
Quel écrivain explorateur du Mississippi avait pour vrai nom Samuel Langhorne Clemens?,Mark TWAIN
Qui est la belle-sœur de Javotte et d'Anastasie selon un conte de Charles Perrault sous-titré La Petite Pantoufle de verre?,Cendrillon
Quel écrivain américain nous a donné une trilogie mettant en vedette le personnage de Jason Bourne?,Robert LUDLUM
À quel réalisateur américain doit-on les films Jaws et Schindler’s List?,Steven Spielberg
"En Asie du Sud-est, de quelle couleur sont les haricots généralement consommés sous forme de pâte sucrée dans les desserts?",rouges
Langue officielle du Pakistan.,ourdou
Qui fut le 2e Premier ministre du Canada?,Alexander MACKENZIE
Quelle est la devise latine des États-Unis?,E pluribus unum
Quel village est relié à Baie-Sainte-Catherine par traversier?,Tadoussac
Quel est le nom du sucre que l'on retrouve en grande quantité dans le lait?,le lactose
Dans quelle ville québécoise a lieu chaque année un festival de musique émergente?,Rouyn-Noranda
Quel est le symbole chimique de l’astate?,At
Quelle expression contenant le mot main signifie être franc et généreux?,avoir le cœur sur la main
De quoi une personne souffrant d’acrophobie a-t-elle peur?,des hauteurs ou de ce qui est élevé
"À quelle couleur réfèrent les teintes Klein, cobalt et lavande?",au bleu
"Quel volcan, l’un des plus actifs au monde, est le plus haut d’Europe?",l’Etna
Quelle partie du corps humain peut être atteinte par une blépharite?,la paupière
Quel nom donne-t-on à l'ensemble de 8 os qui correspond au poignet?,le carpe
De quel élément chimique le tritium et le deutérium sont-ils des isotopes?,de l’hydrogène
Nommez une des trois parties de l'intestin grêle.,"le duodénum, jéjunum, iléon"
"Dans quel opéra retrouve-t-on les personnages de Papageno, de Papagena et de la Reine de la nuit?",La Flûte enchantée
Quel nom porte le prix musical décerné chaque année par la chaîne télévisée MTV aux artistes ayant lancé les meilleurs vidéo-clips?,les MTV Video Music Awards ou MTV VMAs
Quelle chanteuse américaine ayant notamment repris les chansons Me and Bobby McGee et Summertime est décédée à l’âge de 27 ans en 1970?,Janis JOPLIN
À quel chanteur québécois doit-on les albums Là danse ma tête et Nous sommes les mêmes?,Marc Dupré
"À quel compositeur britannique, dont The Wandering Scholar fut la dernière œuvre, doit-on la suite The Planets?",Gustav HOLST
Quel ingrédient nécessaire à la fabrication du chocolat blanc doit composer au moins 20% de celui-ci afin qu’il puisse légalement être appelé « chocolat blanc » en Europe?, R. : le beurre de cacao
Quel homme politique mort en 476 considère-t-on comme le dernier empereur romain d’occident?,Romulus Augustule
Quelle république fut officiellement fondée par Charles de Gaulle en 1958?,la cinquième république française
Avec quel pays la colonie anglaise du Canada conclut-elle une entente commerciale nommée Traité de Réciprocité en 1854?,avec les États-Unis
"Dans quel pays la révolution orange a-t-elle eu lieu en 2004 et 2005, se soldant par une reprise des élections menant Viktor Iouchtchenko au pouvoir?",en Ukraine
"À quel art peut-on associer George Balanchine, Rudolf Noureïev et Isadora Duncan?",à la danse ou la chorégraphie
Quel comte et mécène espagnol commanda à Antoni Gaudí la construction d'un quartier au cœur d'un vaste parc de Barcelone auquel il a donné son nom?,Eusebio GUELL
Quel essai publié en 1948 fut signé par plusieurs artistes québécois dont Paul-Émile Borduas?,Le Refus Global
"À quel peintre de la renaissance doit-on le Jugement dernier, le David et la fresque couvrant le plafond de la chapelle Sixtine?",Michel-Ange ou Michelangelo
"À quel peintre, aquarelliste et graveur britannique romantique doit-on les œuvres Didon construisant Carthage ainsi que Pluie, vapeur et vitesse?",William TURNER
"Que signifie en français la devise olympique Citius, Altius, Fortius?","plus vite, plus haut, plus fort (accepter plus vite, plus haut et plus fort)"
"En cyclisme, que signifie le sigle de l'organisme UCI?",Union cycliste internationale
Que sont le PowerPC et l’Intel Quad Core 2?,Des micro-processeurs
De quelle roche les pierres de curling sont-elles généralement faites?,de granit
"Situé à 13 kilomètres au nord de Salisbury, en Angleterre, quel complexe mégalithique de structures circulaires concentriques fit son entrée au Patrimoine mondial de l’UNESCO en 1986?",Stonehenge
Quel type de roche résulte de l’accumulation de dépôts divers et se divise en strates?,les roches sédimentaires
Quelle auteure anglaise nous a laissé les romans Emma et Pride and Prejudice?,Jane Austen
Quel groupe religieux du 17e siècle a publié de nombreuses Relations dans lesquelles il faisait le bilan de ses activités de christianisation en Nouvelle-France?,Jésuites
Quel roman phare de la beat generation nous raconte le voyage de Sal Paradise et Neal Cassady?,On the Road ou Sur la route
Quel homme russe du début du 19e siècle nous a laissé La dame de pique et la pièce Eugene Onéguine?,Alexandre POUCHKINE
"Quel plat, n’impressionnant que très rarement Gordon Ramsay dans Hell’s Kitchen, consiste en un filet de bœuf cuit enrobé de pâte feuilletée?",le bœuf Wellington
Instrument d’optique permettant de voir ce qui se passe à la surface lorsque dans un sous-marin.,périscope
Quel mot désigne à la fois un champignon et l’organe olfactif du chien?,la truffe
Près de quelle capitale actuelle les ruines de Carthage sont-elles situées?,près de Tunis
Quelle est la capitale de la Zambie?,Lusaka
Quel pays compte la plus grande île inhabitée et le plus long littoral au monde?,le Canada
Comment se nomme la grande presqu’île montagneuse du sud de la Grèce?,le Péloponnèse
"Quel nom ont en commun un État du Mexique, un piment fort et une marque de sauce piquante?",Tabasco
À quel pays peut-on rattacher la famille royale des Tudors?,à l’Angleterre ou à la Grande-Bretagne ou au Royaume-Uni
Qui est l’auteur du roman Moby-Dick?,Herman MELVILLE
